ORI - Agency,Crime Against,MICR Offense,Offenses
 MSP Wayland ,Person, Intimidation/Stalking,31
 MSP Wayland ,Person, Sexual Penetration Nonforcible Other,0
 MSP Wayland ,Person,,362
 MSP Wayland ,Property, Robbery,3
 MSP Wayland ,Property, Carjacking,1
 MSP Wayland ,Property, Arson,2
 MSP Wayland ,Property, Extortion,0
 MSP Wayland ,Property, Burglary Forced Entry,67
 MSP Wayland ,Property, Burglary Entry Without Force (Intent),5
 MSP Wayland ,Property, Burglary Entry w/out Authorization w/or w/out Force,6
 MSP Wayland ,Property, Larceny Pursesnatching,1
 MSP Wayland ,Property, Larceny Theft from Building,20
 MSP Wayland ,Property, Larceny Theft from Coin Operated Machine/Device,1
 MSP Wayland ,Property, Larceny Theft from Motor Vehicle,36
 MSP Wayland ,Property, Larceny Theft of Motor Vehicle Parts/Accessories,30
 MSP Wayland ,Property, Larceny Other,108
 MSP Wayland ,Property, Motor Vehicle Theft,39
 MSP Wayland ,Property, Motor Vehicle as Stolen Property,0
 MSP Wayland ,Property, Motor Vehicle Fraud,0
 MSP Wayland ,Property, Forgery/Counterfeiting,15
 MSP Wayland ,Property, Fraud False Pretense/Swindle/Confidence Game,40
 MSP Wayland ,Property, Fraud Credit Card/ATM,31
 MSP Wayland ,Property, Fraud Impersonation,8
 MSP Wayland ,Property, Fraud Welfare,3
 MSP Wayland ,Property, Fraud Wire,6
 MSP Wayland ,Property, Fraud Bad Checks,3
 MSP Wayland ,Property, Fraud Identity Theft,9
 MSP Wayland ,Property, Fraud Hacking/Computer Invasion,3
 MSP Wayland ,Property, Embezzlement,5
 MSP Wayland ,Property, Stolen Property,4
 MSP Wayland ,Property, Damage To Property,90
 MSP Wayland ,Property, Retail Fraud Misrepresentation,0
 MSP Wayland ,Property, Retail Fraud Theft,25
 MSP Wayland ,Property, Retail Fraud Refund/Exchange,1
 MSP Wayland ,Property,,562
 MSP Wayland ,Society, Violation of Controlled Substance,99
 MSP Wayland ,Society, Narcotic Equipment Violations,52
 MSP Wayland ,Society, Peeping Tom,0
 MSP Wayland ,Society, Obscenity,2
 MSP Wayland ,Society, Family Abuse/Neglect Nonviolent,27
 MSP Wayland ,Society, Family Nonsupport,0
 MSP Wayland ,Society, Family Other,0
 MSP Wayland ,Society, Liquor License Establishment,1
 MSP Wayland ,Society, Liquor Violations Other,17
 MSP Wayland ,Society, Weapons Offense Concealed,25
 MSP Wayland ,Society, Weapons Offense Explosives,0
 MSP Wayland ,Society, Weapons Offense Other,30
 MSP Wayland ,Society, Disorderly Conduct,6
 MSP Wayland ,Society, Public Peace Other,11
 MSP Wayland ,Society, OUIL or OUID,93
 MSP Wayland ,Society, Trespass,30
 MSP Wayland ,Society, Animal Cruelty,2
 MSP Wayland ,Society,,395
 MSP Wayland ,All Other, Sex Offense Other,16
 MSP Wayland ,All Other, Obstructing Police,29
 MSP Wayland ,All Other, Escape/Flight,7
 MSP Wayland ,All Other, Obstructing Justice,183
 MSP Wayland ,All Other, Hit And Run Motor Vehicle Accident,9
 MSP Wayland ,All Other, Health And Safety,25
 MSP Wayland ,All Other, Invasion of Privacy Other,0
 MSP Wayland ,All Other, Election Laws,0
 MSP Wayland ,All Other, Conservation,8
 MSP Wayland ,All Other, Juvenile Runaway,32
 MSP Wayland ,All Other, Miscellaneous Criminal Offense,0
 MSP Wayland ,All Other, Solicitation (All Crimes Except Prostitution),1
 MSP Wayland ,All Other,,310
 Allegan County Sheriff's Office ,All Other,,4141
 Allegan County Sheriff's Office ,Person, Murder/Nonnegligent Manslaughter (Voluntary),0
 Allegan County Sheriff's Office ,Person, Kidnapping/Abduction,1
 Allegan County Sheriff's Office ,Person, Parental Kidnapping,3
 Allegan County Sheriff's Office ,Person, Sexual Penetration Penis/Vagina CSC 1st,5
 Allegan County Sheriff's Office ,Person, Sexual Penetration Penis/Vagina CSC 3rd,3
 Allegan County Sheriff's Office ,Person, Sexual Penetration Oral/Anal CSC 1st,1
 Allegan County Sheriff's Office ,Person, Sexual Penetration Oral/Anal CSC 3rd,1
 Allegan County Sheriff's Office ,Person, Sexual Penetration Object CSC 1st,1
 Allegan County Sheriff's Office ,Person, Sexual Penetration Object CSC 3rd,1
 Allegan County Sheriff's Office ,Person, Sexual Contact Forcible CSC 2nd,4
 Allegan County Sheriff's Office ,Person, Sexual Contact Forcible CSC 4th,102
 Allegan County Sheriff's Office ,Person, Nonaggravated Assault,525
 Allegan County Sheriff's Office ,Person, Aggravated/Felonious Assault,62
 Allegan County Sheriff's Office ,Person, Intimidation/Stalking,161
 Allegan County Sheriff's Office ,Person,,870
 Allegan County Sheriff's Office ,Property, Robbery,2
 Allegan County Sheriff's Office ,Property, Arson,3
 Allegan County Sheriff's Office ,Property, Extortion,2
 Allegan County Sheriff's Office ,Property, Burglary Forced Entry,81
 Allegan County Sheriff's Office ,Property, Burglary Entry Without Force (Intent),36
 Allegan County Sheriff's Office ,Property, Burglary Entry w/out Authorization w/or w/out Force,9
 Allegan County Sheriff's Office ,Property, Larceny Pocketpicking,1
 Allegan County Sheriff's Office ,Property, Larceny Pursesnatching,1
 Allegan County Sheriff's Office ,Property, Larceny Theft from Building,2
 Allegan County Sheriff's Office ,Property, Larceny Theft from Motor Vehicle,42
 Allegan County Sheriff's Office ,Property, Larceny Theft of Motor Vehicle Parts/Accessories,58
 Allegan County Sheriff's Office ,Property, Larceny Other,219
 Allegan County Sheriff's Office ,Property, Motor Vehicle Theft,74
 Allegan County Sheriff's Office ,Property, Motor Vehicle as Stolen Property,17
 Allegan County Sheriff's Office ,Property, Motor Vehicle Fraud,0
 Allegan County Sheriff's Office ,Property, Forgery/Counterfeiting,21
 Allegan County Sheriff's Office ,Property, Fraud False Pretense/Swindle/Confidence Game,101
 Allegan County Sheriff's Office ,Property, Fraud Credit Card/ATM,34
 Allegan County Sheriff's Office ,Property, Fraud Impersonation,52
 Allegan County Sheriff's Office ,Property, Fraud Wire,3
 Allegan County Sheriff's Office ,Property, Fraud Bad Checks,3
 Allegan County Sheriff's Office ,Property, Fraud Hacking/Computer Invasion,3
 Allegan County Sheriff's Office ,Property, Embezzlement,2
 Allegan County Sheriff's Office ,Property, Stolen Property,9
 Allegan County Sheriff's Office ,Property, Damage To Property,188
 Allegan County Sheriff's Office ,Property, Retail Fraud Misrepresentation,1
 Allegan County Sheriff's Office ,Property, Retail Fraud Theft,62
 Allegan County Sheriff's Office ,Property,,1026
 Allegan County Sheriff's Office ,Society, Violation of Controlled Substance,105
 Allegan County Sheriff's Office ,Society, Narcotic Equipment Violations,0
 Allegan County Sheriff's Office ,Society, Peeping Tom,0
 Allegan County Sheriff's Office ,Society, Obscenity,29
 Allegan County Sheriff's Office ,Society, Family Abuse/Neglect Nonviolent,21
 Allegan County Sheriff's Office ,Society, Liquor License Establishment,1
 Allegan County Sheriff's Office ,Society, Liquor Violations Other,55
 Allegan County Sheriff's Office ,Society, Drunkenness,0
 Allegan County Sheriff's Office ,Society, Weapons Offense Concealed,36
 Allegan County Sheriff's Office ,Society, Weapons Offense Explosives,2
 Allegan County Sheriff's Office ,Society, Weapons Offense Other,52
 Allegan County Sheriff's Office ,Society, Disorderly Conduct,100
 Allegan County Sheriff's Office ,Society, Public Peace Other,140
 Allegan County Sheriff's Office ,Society, OUIL or OUID,309
 Allegan County Sheriff's Office ,Society, Trespass,221
 Allegan County Sheriff's Office ,Society,,1071
 Allegan County Sheriff's Office ,All Other, Possession of Burglary Tools,1
 Allegan County Sheriff's Office ,All Other, Sex Offense Other,11
 Allegan County Sheriff's Office ,All Other, Obstructing Police,137
 Allegan County Sheriff's Office ,All Other, Escape/Flight,13
 Allegan County Sheriff's Office ,All Other, Obstructing Justice,839
 Allegan County Sheriff's Office ,All Other, Hit And Run Motor Vehicle Accident,2
 Allegan County Sheriff's Office ,All Other, Health And Safety,124
 Allegan County Sheriff's Office ,All Other, Smuggling,4
 Allegan County Sheriff's Office ,All Other, Election Laws,0
 Allegan County Sheriff's Office ,All Other, Conservation,17
 Allegan County Sheriff's Office ,All Other, Juvenile Runaway,26
 Allegan County Sheriff's Office ,All Other, Miscellaneous Criminal Offense,0
 Allegan County Sheriff's Office ,All Other,,1174
 Allegan Police Department ,All Other,,277
 Allegan Police Department ,Person, Sexual Penetration Penis/Vagina CSC 1st,0
 Allegan Police Department ,Person, Sexual Penetration Penis/Vagina CSC 3rd,0
 Allegan Police Department ,Person, Sexual Penetration Oral/Anal CSC 1st,1
 Allegan Police Department ,Person, Sexual Contact Forcible CSC 2nd,7
 Allegan Police Department ,Person, Sexual Contact Forcible CSC 4th,9
 Allegan Police Department ,Person, Nonaggravated Assault,40
 Allegan Police Department ,Person, Aggravated/Felonious Assault,3
 Allegan Police Department ,Person, Intimidation/Stalking,13
 Allegan Police Department ,Person,,73
 Allegan Police Department ,Property, Robbery,0
 Allegan Police Department ,Property, Extortion,1
 Allegan Police Department ,Property, Burglary Forced Entry,0
 Allegan Police Department ,Property, Burglary Entry Without Force (Intent),2
 Allegan Police Department ,Property, Burglary Entry w/out Authorization w/or w/out Force,5
 Allegan Police Department ,Property, Larceny Theft from Building,8
 Allegan Police Department ,Property, Larceny Theft from Coin Operated Machine/Device,1
 Allegan Police Department ,Property, Larceny Theft from Motor Vehicle,2
 Allegan Police Department ,Property, Larceny Theft of Motor Vehicle Parts/Accessories,1
 Allegan Police Department ,Property, Larceny Other,5
 Allegan Police Department ,Property, Motor Vehicle Theft,2
 Allegan Police Department ,Property, Motor Vehicle as Stolen Property,0
 Allegan Police Department ,Property, Forgery/Counterfeiting,2
 Allegan Police Department ,Property, Fraud False Pretense/Swindle/Confidence Game,5
 Allegan Police Department ,Property, Fraud Credit Card/ATM,0
 Allegan Police Department ,Property, Fraud Impersonation,0
 Allegan Police Department ,Property, Fraud Wire,3
 Allegan Police Department ,Property, Fraud Bad Checks,2
 Allegan Police Department ,Property, Damage To Property,27
 Allegan Police Department ,Property, Retail Fraud Misrepresentation,0
 Allegan Police Department ,Property, Retail Fraud Theft,1
 Allegan Police Department ,Property, Retail Fraud Refund/Exchange,0
 Allegan Police Department ,Property,,67
 Allegan Police Department ,Society, Violation of Controlled Substance,17
 Allegan Police Department ,Society, Narcotic Equipment Violations,0
 Allegan Police Department ,Society, Obscenity,1
 Allegan Police Department ,Society, Family Abuse/Neglect Nonviolent,5
 Allegan Police Department ,Society, Liquor Violations Other,0
 Allegan Police Department ,Society, Weapons Offense Concealed,4
 Allegan Police Department ,Society, Weapons Offense Other,0
 Allegan Police Department ,Society, Disorderly Conduct,5
 Allegan Police Department ,Society, Public Peace Other,0
 Allegan Police Department ,Society, OUIL or OUID,12
 Allegan Police Department ,Society, Trespass,4
 Allegan Police Department ,Society,,48
 Allegan Police Department ,All Other, Sex Offense Other,0
 Allegan Police Department ,All Other, Obstructing Police,7
 Allegan Police Department ,All Other, Obstructing Justice,76
 Allegan Police Department ,All Other, Juvenile Runaway,6
 Allegan Police Department ,All Other,,89
 Douglas Police Department ,All Other,,69
 Douglas Police Department ,Person, Nonaggravated Assault,7
 Douglas Police Department ,Person, Aggravated/Felonious Assault,1
 Douglas Police Department ,Person, Intimidation/Stalking,8
 Douglas Police Department ,Person,,16
 Douglas Police Department ,Property, Robbery,0
 Douglas Police Department ,Property, Burglary Forced Entry,0
 Douglas Police Department ,Property, Burglary Entry w/out Authorization w/or w/out Force,1
 Douglas Police Department ,Property, Larceny Theft from Building,2
 Douglas Police Department ,Property, Larceny Theft from Motor Vehicle,1
 Douglas Police Department ,Property, Larceny Theft of Motor Vehicle Parts/Accessories,1
 Douglas Police Department ,Property, Larceny Other,15
 Douglas Police Department ,Property, Forgery/Counterfeiting,1
 Douglas Police Department ,Property, Fraud False Pretense/Swindle/Confidence Game,1
 Douglas Police Department ,Property, Fraud Impersonation,1
 Douglas Police Department ,Property, Fraud Bad Checks,1
 Douglas Police Department ,Property, Fraud Identity Theft,0
 Douglas Police Department ,Property, Embezzlement,2
 Douglas Police Department ,Property, Damage To Property,4
 Douglas Police Department ,Property, Retail Fraud Theft,0
 Douglas Police Department ,Property,,30
 Douglas Police Department ,Society, Violation of Controlled Substance,1
 Douglas Police Department ,Society, Family Abuse/Neglect Nonviolent,1
 Douglas Police Department ,Society, Disorderly Conduct,3
 Douglas Police Department ,Society, OUIL or OUID,4
 Douglas Police Department ,Society, Trespass,3
 Douglas Police Department ,Society,,12
 Douglas Police Department ,All Other, Sex Offense Other,1
 Douglas Police Department ,All Other, Obstructing Police,1
 Douglas Police Department ,All Other, Obstructing Justice,9
 Douglas Police Department ,All Other, Hit And Run Motor Vehicle Accident,0
 Douglas Police Department ,All Other,,11
 Fennville Police Department Total,All Other,,49
 Fennville Police Department Total,Person, Negligent Homicide/Manslaughter (Involuntary),0
 Fennville Police Department Total,Person, Sexual Penetration Penis/Vagina CSC 1st,1
 Fennville Police Department Total,Person, Sexual Penetration Object CSC 3rd,0
 Fennville Police Department Total,Person, Sexual Contact Forcible CSC 4th,1
 Fennville Police Department Total,Person, Nonaggravated Assault,12
 Fennville Police Department Total,Person, Aggravated/Felonious Assault,3
 Fennville Police Department Total,Person, Intimidation/Stalking,4
 Fennville Police Department Total,Person,,21
 Fennville Police Department Total,Property, Larceny Theft from Motor Vehicle,2
 Fennville Police Department Total,Property, Larceny Other,0
 Fennville Police Department Total,Property, Forgery/Counterfeiting,0
 Fennville Police Department Total,Property, Fraud False Pretense/Swindle/Confidence Game,0
 Fennville Police Department Total,Property, Fraud Bad Checks,0
 Fennville Police Department Total,Property, Damage To Property,3
 Fennville Police Department Total,Property, Retail Fraud Theft,0
 Fennville Police Department Total,Property,,5
 Fennville Police Department Total,Society, Violation of Controlled Substance,1
 Fennville Police Department Total,Society, Narcotic Equipment Violations,0
 Fennville Police Department Total,Society, Liquor Violations Other,1
 Fennville Police Department Total,Society, Weapons Offense Concealed,0
 Fennville Police Department Total,Society, Weapons Offense Other,0
 Fennville Police Department Total,Society, Disorderly Conduct,0
 Fennville Police Department Total,Society, OUIL or OUID,6
 Fennville Police Department Total,Society, Trespass,0
 Fennville Police Department Total,Society,,8
 Fennville Police Department Total,All Other, Sex Offense Other,2
 Fennville Police Department Total,All Other, Obstructing Police,4
 Fennville Police Department Total,All Other, Obstructing Justice,8
 Fennville Police Department Total,All Other, Hit And Run Motor Vehicle Accident,1
 Fennville Police Department Total,All Other, Miscellaneous Criminal Offense,0
 Fennville Police Department Total,All Other,,15
 Otsego Police Department ,All Other,,275
 Otsego Police Department ,Person, Sexual Penetration Penis/Vagina CSC 1st,1
 Otsego Police Department ,Person, Sexual Penetration Oral/Anal CSC 3rd,0
 Otsego Police Department ,Person, Sexual Contact Forcible CSC 2nd,1
 Otsego Police Department ,Person, Sexual Contact Forcible CSC 4th,1
 Otsego Police Department ,Person, Nonaggravated Assault,27
 Otsego Police Department ,Person, Aggravated/Felonious Assault,7
 Otsego Police Department ,Person, Intimidation/Stalking,10
 Otsego Police Department ,Person,,47
 Otsego Police Department ,Property, Arson,0
 Otsego Police Department ,Property, Burglary Forced Entry,0
 Otsego Police Department ,Property, Burglary Entry Without Force (Intent),1
 Otsego Police Department ,Property, Burglary Entry w/out Authorization w/or w/out Force,2
 Otsego Police Department ,Property, Larceny Pocketpicking,0
 Otsego Police Department ,Property, Larceny Theft from Building,1
 Otsego Police Department ,Property, Larceny Theft from Motor Vehicle,15
 Otsego Police Department ,Property, Larceny Theft of Motor Vehicle Parts/Accessories,5
 Otsego Police Department ,Property, Larceny Other,13
 Otsego Police Department ,Property, Motor Vehicle Theft,9
 Otsego Police Department ,Property, Forgery/Counterfeiting,1
 Otsego Police Department ,Property, Fraud False Pretense/Swindle/Confidence Game,1
 Otsego Police Department ,Property, Fraud Credit Card/ATM,7
 Otsego Police Department ,Property, Fraud Impersonation,1
 Otsego Police Department ,Property, Fraud Bad Checks,1
 Otsego Police Department ,Property, Fraud Identity Theft,4
 Otsego Police Department ,Property, Fraud Hacking/Computer Invasion,0
 Otsego Police Department ,Property, Embezzlement,1
 Otsego Police Department ,Property, Damage To Property,29
 Otsego Police Department ,Property, Retail Fraud Theft,1
 Otsego Police Department ,Property,,92
 Otsego Police Department ,Society, Violation of Controlled Substance,11
 Otsego Police Department ,Society, Narcotic Equipment Violations,0
 Otsego Police Department ,Society, Peeping Tom,0
 Otsego Police Department ,Society, Obscenity,4
 Otsego Police Department ,Society, Family Abuse/Neglect Nonviolent,8
 Otsego Police Department ,Society, Liquor Violations Other,1
 Otsego Police Department ,Society, Weapons Offense Concealed,2
 Otsego Police Department ,Society, Weapons Offense Explosives,0
 Otsego Police Department ,Society, Weapons Offense Other,2
 Otsego Police Department ,Society, Disorderly Conduct,3
 Otsego Police Department ,Society, Public Peace Other,0
 Otsego Police Department ,Society, OUIL or OUID,7
 Otsego Police Department ,Society, Trespass,11
 Otsego Police Department ,Society,,49
 Otsego Police Department ,All Other, Sex Offense Other,5
 Otsego Police Department ,All Other, Obstructing Police,11
 Otsego Police Department ,All Other, Obstructing Justice,58
 Otsego Police Department ,All Other, Hit And Run Motor Vehicle Accident,2
 Otsego Police Department ,All Other, Health And Safety,11
 Otsego Police Department ,All Other, Election Laws,0
 Otsego Police Department ,All Other, Juvenile Runaway,0
 Otsego Police Department ,All Other,,87
 Plainwell Department of Public Safety,All Other,,134
 Plainwell Department of Public Safety,Person, Sexual Penetration Penis/Vagina CSC 1st,1
 Plainwell Department of Public Safety,Person, Sexual Penetration Penis/Vagina CSC 3rd,0
 Plainwell Department of Public Safety,Person, Sexual Penetration Object CSC 1st,0
 Plainwell Department of Public Safety,Person, Sexual Contact Forcible CSC 2nd,2
 Plainwell Department of Public Safety,Person, Sexual Contact Forcible CSC 4th,1
 Plainwell Department of Public Safety,Person, Nonaggravated Assault,24
 Plainwell Department of Public Safety,Person, Aggravated/Felonious Assault,4
 Plainwell Department of Public Safety,Person, Intimidation/Stalking,1
 Plainwell Department of Public Safety,Person,,33
 Plainwell Department of Public Safety,Property, Robbery,1
 Plainwell Department of Public Safety,Property, Burglary Forced Entry,5
 Plainwell Department of Public Safety,Property, Burglary Entry w/out Authorization w/or w/out Force,0
 Plainwell Department of Public Safety,Property, Larceny Theft from Building,1
 Plainwell Department of Public Safety,Property, Larceny Theft from Motor Vehicle,5
 Plainwell Department of Public Safety,Property, Larceny Theft of Motor Vehicle Parts/Accessories,3
 Plainwell Department of Public Safety,Property, Larceny Other,16
 Plainwell Department of Public Safety,Property, Motor Vehicle Theft,4
 Plainwell Department of Public Safety,Property, Forgery/Counterfeiting,0
 Plainwell Department of Public Safety,Property, Fraud False Pretense/Swindle/Confidence Game,1
 Plainwell Department of Public Safety,Property, Fraud Credit Card/ATM,2
 Plainwell Department of Public Safety,Property, Fraud Impersonation,0
 Plainwell Department of Public Safety,Property, Fraud Wire,0
 Plainwell Department of Public Safety,Property, Fraud Bad Checks,1
 Plainwell Department of Public Safety,Property, Fraud Identity Theft,1
 Plainwell Department of Public Safety,Property, Embezzlement,1
 Plainwell Department of Public Safety,Property, Stolen Property,1
 Plainwell Department of Public Safety,Property, Damage To Property,11
 Plainwell Department of Public Safety,Property, Retail Fraud Theft,1
