,ORI - Agency,Crime Against,MICR Offense,Victims,Offenses,Incidents,Arrests,Exceptional Clearance,Clearance Rate,2021 Crimes,2020 Crimes,Percent Change
148, MSP Wayland ,Property, Robbery,1,3,3,0,0,0.0,3,2,0.5
149, MSP Wayland ,Property, Carjacking,1,1,1,0,0,0.0,1,0,0.5
150, MSP Wayland ,Property, Arson,1,2,1,0,0,0.0,2,5,-0.6
151, MSP Wayland ,Property, Extortion,0,0,0,0,0,0.0,0,1,-1
152, MSP Wayland ,Property, Burglary Forced Entry,56,67,67,13,5,0.26865671641791045,89,175,-0.49142857142857144
153, MSP Wayland ,Property, Burglary Entry Without Force (Intent),6,5,5,1,0,0.2,5,1,4
154, MSP Wayland ,Property, Burglary Entry w/out Authorization w/or w/out Force,3,6,5,2,1,0.6,6,9,-0.3333333333333333
155, MSP Wayland ,Property, Larceny Pursesnatching,1,1,1,0,0,0.0,1,0,-0.3333333333333333
156, MSP Wayland ,Property, Larceny Theft from Building,16,20,18,2,4,0.3333333333333333,20,21,-0.047619047619047616
157, MSP Wayland ,Property, Larceny Theft from Coin Operated Machine/Device,0,1,1,0,0,0.0,1,0,-0.047619047619047616
158, MSP Wayland ,Property, Larceny Theft from Motor Vehicle,31,36,34,2,2,0.11764705882352941,36,46,-0.21739130434782608
159, MSP Wayland ,Property, Larceny Theft of Motor Vehicle Parts/Accessories,14,30,24,0,1,0.041666666666666664,30,8,2.75
160, MSP Wayland ,Property, Larceny Other,130,108,103,8,10,0.17475728155339806,108,95,0.1368421052631579
161, MSP Wayland ,Property, Motor Vehicle Theft,31,39,29,5,5,0.3448275862068966,40,39,0.02564102564102564
162, MSP Wayland ,Property, Motor Vehicle as Stolen Property,0,0,0,0,0,0.0,0,1,-1
163, MSP Wayland ,Property, Motor Vehicle Fraud,0,0,0,0,0,0.0,0,1,-1
164, MSP Wayland ,Property, Forgery/Counterfeiting,7,15,10,2,0,0.2,15,14,0.07142857142857142
165, MSP Wayland ,Property, Fraud False Pretense/Swindle/Confidence Game,30,40,38,0,2,0.05263157894736842,40,63,-0.36507936507936506
166, MSP Wayland ,Property, Fraud Credit Card/ATM,24,31,27,1,4,0.18518518518518517,31,22,0.4090909090909091
167, MSP Wayland ,Property, Fraud Impersonation,5,8,6,1,0,0.16666666666666666,8,11,-0.2727272727272727
168, MSP Wayland ,Property, Fraud Welfare,3,3,3,0,0,0.0,3,0,-0.2727272727272727
169, MSP Wayland ,Property, Fraud Wire,4,6,6,0,1,0.16666666666666666,6,4,0.5
170, MSP Wayland ,Property, Fraud Bad Checks,1,3,2,0,1,0.5,3,14,-0.7857142857142857
171, MSP Wayland ,Property, Fraud Identity Theft,8,9,8,0,0,0.0,9,8,0.125
172, MSP Wayland ,Property, Fraud Hacking/Computer Invasion,0,3,3,0,1,0.3333333333333333,3,2,0.5
173, MSP Wayland ,Property, Embezzlement,2,5,3,0,2,0.6666666666666666,5,5,0
174, MSP Wayland ,Property, Stolen Property,3,4,2,2,0,1.0,4,13,-0.6923076923076923
175, MSP Wayland ,Property, Damage To Property,77,90,79,7,20,0.34177215189873417,90,73,0.2328767123287671
176, MSP Wayland ,Property, Retail Fraud Misrepresentation,0,0,0,0,0,0.0,0,3,-1
177, MSP Wayland ,Property, Retail Fraud Theft,1,25,25,6,1,0.28,25,54,-0.5370370370370371
178, MSP Wayland ,Property, Retail Fraud Refund/Exchange,0,1,0,0,0,0.0,1,1,0
179, MSP Wayland ,Property,,456,562,504,52,60,0.2222222222222222,585,691,-0.15340086830680175
180, MSP Wayland ,Society, Violation of Controlled Substance,0,99,89,64,5,0.7752808988764045,99,221,-0.5520361990950227
181, MSP Wayland ,Society, Narcotic Equipment Violations,0,52,10,7,0,0.7,52,129,-0.5968992248062015
182, MSP Wayland ,Society, Peeping Tom,0,0,0,0,0,0.0,0,1,-1
183, MSP Wayland ,Society, Obscenity,0,2,2,2,0,1.0,2,1,1
184, MSP Wayland ,Society, Family Abuse/Neglect Nonviolent,22,27,25,1,7,0.32,27,8,2.375
185, MSP Wayland ,Society, Family Nonsupport,0,0,0,0,0,0.0,0,2,-1
186, MSP Wayland ,Society, Family Other,0,0,0,0,0,0.0,0,1,-1
187, MSP Wayland ,Society, Liquor License Establishment,0,1,0,0,0,0.0,1,0,-1
188, MSP Wayland ,Society, Liquor Violations Other,0,17,15,13,1,0.9333333333333333,17,18,-0.05555555555555555
189, MSP Wayland ,Society, Weapons Offense Concealed,0,25,23,19,0,0.8260869565217391,25,23,0.08695652173913043
190, MSP Wayland ,Society, Weapons Offense Explosives,0,0,0,0,0,0.0,0,1,-1
191, MSP Wayland ,Society, Weapons Offense Other,0,30,27,14,4,0.6666666666666666,30,36,-0.16666666666666666
192, MSP Wayland ,Society, Disorderly Conduct,0,6,6,2,0,0.3333333333333333,6,4,0.5
193, MSP Wayland ,Society, Public Peace Other,0,11,11,0,0,0.0,11,19,-0.42105263157894735
194, MSP Wayland ,Society, OUIL or OUID,0,93,88,86,1,0.9886363636363636,93,143,-0.34965034965034963
195, MSP Wayland ,Society, Trespass,2,30,27,0,2,0.07407407407407407,30,43,-0.3023255813953488
196, MSP Wayland ,Society, Animal Cruelty,0,2,2,1,0,0.5,2,5,-0.6
197, MSP Wayland ,Society,,24,395,325,209,20,0.7046153846153846,395,655,-0.3969465648854962
198, MSP Wayland ,All Other, Sex Offense Other,11,16,13,0,2,0.15384615384615385,16,19,-0.15789473684210525
199, MSP Wayland ,All Other, Obstructing Police,0,29,14,11,0,0.7857142857142857,29,46,-0.3695652173913043
200, MSP Wayland ,All Other, Escape/Flight,0,7,7,3,0,0.42857142857142855,7,7,0
201, MSP Wayland ,All Other, Obstructing Justice,0,183,148,136,2,0.9324324324324325,183,310,-0.4096774193548387
202, MSP Wayland ,All Other, Hit And Run Motor Vehicle Accident,9,9,8,2,0,0.25,9,8,0.125
203, MSP Wayland ,All Other, Health And Safety,3,25,24,3,2,0.20833333333333334,25,21,0.19047619047619047
204, MSP Wayland ,All Other, Invasion of Privacy Other,0,0,0,0,0,0.0,0,1,-1
205, MSP Wayland ,All Other, Election Laws,0,0,0,0,0,0.0,0,1,-1
206, MSP Wayland ,All Other, Conservation,0,8,8,3,0,0.375,8,16,-0.5
207, MSP Wayland ,All Other, Juvenile Runaway,0,32,27,14,1,0.5555555555555556,32,19,0.6842105263157895
208, MSP Wayland ,All Other, Miscellaneous Criminal Offense,0,0,0,0,0,0.0,0,12,-1
209, MSP Wayland ,All Other, Solicitation (All Crimes Except Prostitution),2,1,1,0,0,0.0,1,0,-1
210, MSP Wayland ,All Other,,25,310,250,172,7,0.716,310,460,-0.32608695652173914
211, Allegan County Sheriff's Office ,All Other,,2275,4141,3873,1519,159,0.4332558739994836,4277,4609,-0.07203297895422
212, Allegan County Sheriff's Office ,Person, Murder/Nonnegligent Manslaughter (Voluntary),0,0,0,0,0,0.0,0,2,-1
213, Allegan County Sheriff's Office ,Person, Kidnapping/Abduction,1,1,1,0,0,0.0,1,2,-0.5
214, Allegan County Sheriff's Office ,Person, Parental Kidnapping,5,3,3,1,0,0.3333333333333333,5,1,4
215, Allegan County Sheriff's Office ,Person, Sexual Penetration Penis/Vagina CSC 1st,5,5,5,3,0,0.6,5,2,1.5
216, Allegan County Sheriff's Office ,Person, Sexual Penetration Penis/Vagina CSC 3rd,3,3,3,1,2,1.0,3,2,0.5
217, Allegan County Sheriff's Office ,Person, Sexual Penetration Oral/Anal CSC 1st,2,1,1,1,0,1.0,2,2,0
218, Allegan County Sheriff's Office ,Person, Sexual Penetration Oral/Anal CSC 3rd,1,1,1,0,1,1.0,1,1,0
219, Allegan County Sheriff's Office ,Person, Sexual Penetration Object CSC 1st,1,1,1,0,0,0.0,1,3,-0.6666666666666666
220, Allegan County Sheriff's Office ,Person, Sexual Penetration Object CSC 3rd,1,1,1,0,0,0.0,1,1,0
221, Allegan County Sheriff's Office ,Person, Sexual Contact Forcible CSC 2nd,4,4,4,1,0,0.25,4,1,3
222, Allegan County Sheriff's Office ,Person, Sexual Contact Forcible CSC 4th,108,102,102,13,12,0.24509803921568626,108,92,0.17391304347826086
223, Allegan County Sheriff's Office ,Person, Nonaggravated Assault,632,525,516,228,90,0.6162790697674418,632,634,-0.0031545741324921135
224, Allegan County Sheriff's Office ,Person, Aggravated/Felonious Assault,76,62,62,37,2,0.6290322580645161,76,83,-0.08433734939759036
225, Allegan County Sheriff's Office ,Person, Intimidation/Stalking,162,161,159,9,2,0.06918238993710692,162,181,-0.10497237569060773
226, Allegan County Sheriff's Office ,Person,,1001,870,859,294,109,0.4691501746216531,1001,1007,-0.005958291956305859
227, Allegan County Sheriff's Office ,Property, Robbery,1,2,2,0,0,0.0,2,4,-0.5
228, Allegan County Sheriff's Office ,Property, Arson,3,3,3,1,0,0.3333333333333333,3,4,-0.25
229, Allegan County Sheriff's Office ,Property, Extortion,1,2,1,0,0,0.0,2,0,-0.25
230, Allegan County Sheriff's Office ,Property, Burglary Forced Entry,89,81,81,5,1,0.07407407407407407,81,141,-0.425531914893617
231, Allegan County Sheriff's Office ,Property, Burglary Entry Without Force (Intent),36,36,36,1,1,0.05555555555555555,36,31,0.16129032258064516
232, Allegan County Sheriff's Office ,Property, Burglary Entry w/out Authorization w/or w/out Force,7,9,6,1,1,0.3333333333333333,9,22,-0.5909090909090909
233, Allegan County Sheriff's Office ,Property, Larceny Pocketpicking,1,1,1,0,0,0.0,1,0,-0.5909090909090909
234, Allegan County Sheriff's Office ,Property, Larceny Pursesnatching,1,1,1,0,0,0.0,1,0,-0.5909090909090909
235, Allegan County Sheriff's Office ,Property, Larceny Theft from Building,2,2,2,0,0,0.0,2,10,-0.8
236, Allegan County Sheriff's Office ,Property, Larceny Theft from Motor Vehicle,45,42,42,2,1,0.07142857142857142,42,69,-0.391304347826087
237, Allegan County Sheriff's Office ,Property, Larceny Theft of Motor Vehicle Parts/Accessories,45,58,58,3,0,0.05172413793103448,58,23,1.5217391304347827
238, Allegan County Sheriff's Office ,Property, Larceny Other,202,219,217,8,17,0.1152073732718894,219,258,-0.1511627906976744
239, Allegan County Sheriff's Office ,Property, Motor Vehicle Theft,67,74,71,7,4,0.15492957746478872,79,69,0.14492753623188406
240, Allegan County Sheriff's Office ,Property, Motor Vehicle as Stolen Property,17,17,17,4,0,0.23529411764705882,17,8,1.125
241, Allegan County Sheriff's Office ,Property, Motor Vehicle Fraud,0,0,0,0,0,0.0,0,1,-1
242, Allegan County Sheriff's Office ,Property, Forgery/Counterfeiting,9,21,20,2,0,0.1,21,31,-0.3225806451612903
243, Allegan County Sheriff's Office ,Property, Fraud False Pretense/Swindle/Confidence Game,97,101,100,2,0,0.02,101,83,0.21686746987951808
244, Allegan County Sheriff's Office ,Property, Fraud Credit Card/ATM,31,34,31,2,1,0.0967741935483871,34,40,-0.15
245, Allegan County Sheriff's Office ,Property, Fraud Impersonation,54,52,52,0,1,0.019230769230769232,52,88,-0.4090909090909091
246, Allegan County Sheriff's Office ,Property, Fraud Wire,3,3,3,0,0,0.0,3,1,2
247, Allegan County Sheriff's Office ,Property, Fraud Bad Checks,1,3,3,0,0,0.0,3,5,-0.4
248, Allegan County Sheriff's Office ,Property, Fraud Hacking/Computer Invasion,3,3,3,0,0,0.0,3,1,2
249, Allegan County Sheriff's Office ,Property, Embezzlement,1,2,2,1,0,0.5,2,1,1
250, Allegan County Sheriff's Office ,Property, Stolen Property,8,9,9,3,0,0.3333333333333333,9,13,-0.3076923076923077
251, Allegan County Sheriff's Office ,Property, Damage To Property,144,188,168,21,7,0.16666666666666666,188,203,-0.07389162561576355
252, Allegan County Sheriff's Office ,Property, Retail Fraud Misrepresentation,0,1,1,0,0,0.0,1,4,-0.75
253, Allegan County Sheriff's Office ,Property, Retail Fraud Theft,2,62,61,10,5,0.2459016393442623,62,69,-0.10144927536231885
254, Allegan County Sheriff's Office ,Property,,870,1026,991,73,39,0.11301715438950555,1031,1179,-0.1255301102629347
